1,No Gi,Junior,2020-09-19,"Opp in my closed guard. He tries to strangle, bring legs over his shoulders and squeeze knees while pushing hips up and cranking wrists away from each other. "
1,BJJ Intermediate,Charles,2020-09-21,"Pulling guard. Make grip on opps sleeve with outside arm and collar with the inside (BOTH ON SAME SIDE OF GI). Fake a trip so he steps back, then step on his hip (same side as grips) and pull into open guard. Either close the guard or sweep from here. "
1,BJJ All Levels,Bruno,2020-09-22,"Half guard. Sitting on opps leg that is inbetween mine, weave arm through his thighs and grip the lower leg. Make grip with other hand on his collar, keeping arm bent to avoid Kimura, sprawl leg back, drive arm into his chin with weight on his body and get into side control."
1,BJJ All Levels,Kywan,2020-09-23,"Breaking grip on collar. Make a grip on sleeve, tightening so the sleeve doesn't move up and down the arm, step back leaning shoulders forward, slightly over the hips, and push grip down. + Guard pass, two underhooks under legs, grab collar of opponent, put arm over his neck, drive forward and roll to the side, sliding other arm over hips."
1,BJJ Fundamentals,Luciano ,2020-09-24,"Throw. Grip opps arm by tricep, step in front, underhook his armpit with my elbow, drop below his hips, lift him up on my lower back and throw. (Did with Ollie, blue belt)."
1,BJJ Fundamentals,Bruno,2020-09-25,"Straight footlock. Opps leg inbetween mine. Reach under his knee and block him from pushing his leg through by raising up my forearm (with hand stuck to my leg) and then wrap ankle with other arm. Make grip on my collar to secure and lift up. Then roll to the side (other side to gripped ankle), put knee on the floor and turn over shoulder while pushing hips forward."
1,BJJ Intermediate,Bruno,2020-09-28,"Spider guard (Control sleeves and control biceps with feet). Sweep - push away on one hip, and scissor with this leg and the one on bicep. Other option - pull opp into a triangle. "
1,BJJ Fundamentals,Junior,2020-09-29,"Side control attacks. First - switch hips so I'm leaning towards opp with back to his hips. Take his wrist, place it under my leg, lock it, and then roll on to my knees. Second - Americana. When opp bridges drive head over to other side, wrap his wrist, bring his elbow towards his body while twisting his wrist as if I am accelerating on a motobike, and bring his elbow up using my forearm. "
1,BJJ All Levels,Mauricio,2020-09-30,"Arm bar from standing. Opp puts hand on my head, wrap it up, secure elbow, squat while pulling wrist up. "
1,No Gi,Charles,2020-10-01,"Side control seminar. Aim of side control is to keep chest on chest, pry opp's arms away and above his head while maintaining pressure, to then slide knee over belly and mount. Also - switch between different side control variations depending on the situation. "
1,BJJ Intermediate,Bruno,2020-10-03,"Take down. Step up close to opp with weight down on grips. Sweep leg and peel his collar across to that side. Then slide knee over belly, shift hips onto his body, slide round to north south while isolating an arm, then arm bar. "
1,BJJ All Levels,Kywan,2020-10-04,Ezekhiel from mount. And then Arm Bar from mount after trying the Ezekhiel. 
1,No Gi,Kywan,2020-10-06,"Half guard to mount. Under hook shoulder, drive head forward and bring leg through, using the other leg to assist breaking the partner's leg squeeze if necessary."
1,BJJ Intermediate,Junior,2020-10-08,"Opp has one of my legs. Push head away and kick leg out. Or, push opps head to outside of the body, grab his belt, push his head and back down, hook one leg and pull the other towards. "
1,BJJ Fundamentals,Kywan,2020-10-09,Guillotine from North South (coming from side control).
1,No Gi,Kywan,2020-10-10,"Rolling escapes from side control. Create frame with arms, tuck leg in and wriggle into closed guard. Second one. Grab belt, get body at right angle to opp and roll over shoulder."
1,BJJ All Levels,Charles,2020-10-12,"Guard passing. Push down with one arm, lock elbow. Grip opps arm and swing across. Step up with foot on the side where he is armless, put weight on his chest, and stand on the other leg. Holding onto the arm posture up, tuck elbow inside his knee, step back and pass. "
1,BJJ Fundamentals,Junior,2020-10-13,"Guard passing. Grab opps leg, step towards them, place foot inbetween their legs and squat, dragging their leg over the thigh. Drive knee down and block their knee with the armpit. Then shift hips across into side control."
1,BJJ Intermediate,Junior,2020-10-14,"Sweep from closed guard. Opp is in my closed guard, places a leg to the right to try and stand up, grip his arm on my chest, wiggle over to the planted leg, underhook it and sweep opp into mount. If opp puts his knee down I can attack the arm with an arm bar. "
1,BJJ All Levels,Uyi,2020-10-15,"Standing throws, pushing opp one way and sweeping leg. Also pulling guard. "
1,BJJ Fundamentals,Bruno,2020-10-16,"Takedown from behind. Arms wrapped around hips, elbow traps upper thigh and drive over. Trap shoulders with knee. Finish with Ezekiel."
1,BJJ All Levels,Kywan,2020-10-17,"Open guard, control one arm. Pull across, climb up the arm and take the back. Trap leg with elbow and drive into ground."
1,BJJ Fundamentals,Bruno,2020-10-18,"Takedown from behind. Arms wrapped around hips, elbow traps upper thigh and drive over. Trap shoulders with knee. Finish with Ezekiel."
